name,description,biography,personality,seasons,titles,status,death,origin,allegiance,culture,religion,predecessor,successor,father,mother,spouse,children,siblings,lovers,image_1_src,image_1_caption,image_2_src,image_2_caption,image_3_src,image_3_caption,image_4_src,image_4_caption,image_5_src,image_5_caption,image_6_src,image_6_caption,image_7_src,image_7_caption,image_8_src,image_8_caption,house
Benjen Stark,"Benjen Stark is a recurring character in the first, sixth and seventh seasons. He is played by guest star Joseph Mawle and debuts in the series premiere. He reappears in the sixth season, in a flashback, played by Matteo Elezi. Benjen Stark is the First Ranger of the Night's Watch. He embarks on a ranging north of the Wall, and does not return. He is finally encountered again when he saves Bran Stark and Meera Reed from wights after they escape from the cave of the three-eyed raven. Afterwards he leads Bran and Meera close to the Wall but stays behind because he cannot pass through it due to his undead status.","Benjen Stark is the youngest son of Lord Rickard Stark. Rickard was the head of House Stark and Lord Paramount of the North. The North is one of the constituent regions of the Seven Kingdoms and House Stark is one of the Great Houses of the realm. House Stark rule the region from their seat of Winterfell and Rickard also held the title Lord of Winterfell.
Benjen is the younger brother of Brandon, Eddard and Lyanna. Rickard, Brandon and Lyanna were all killed in the civil war known as Robert's Rebellion. Eddard inherited his father's titles and responsibilities.
He later attended the The Great Tourney at Harrenhal with his siblings.
Benjen joined the Night's Watch, the military force which patrols the Wall and guards the northern border of the Seven Kingdoms. He earned the rank of First Ranger. Benjen is a hero to Eddard's ""bastard son"" Jon Snow.","","1, 6, 7",First Ranger of the Night's Watch (formerly),Alive (undead),"","","House Stark, Three-eyed raven, Night's Watch",Northmen,Old Gods of the Forest,"","",Rickard Stark,"","","","Brandon Stark, Eddard Stark, Lyanna Stark","",http://vignette3.wikia.nocookie.net/gameofthrones/images/0/0f/610_Benjen_Promo_Crop.png/revision/latest?cb=20160629183134,Benjen Stark,http://vignette2.wikia.nocookie.net/gameofthrones/images/b/b2/YoungBenjen.png,A young Benjen as seen in Bran's visions.,http://vignette1.wikia.nocookie.net/gameofthrones/images/7/75/Winter_is_Coming_Ned_and_Benjen.jpg,Eddard Stark talking to his brother in Winterfell's great hall.,http://vignette3.wikia.nocookie.net/gameofthrones/images/5/54/Jon_and_Benjen_1x03.png,Benjen says goodbye to his nephew Jon Snow atop the Wall.,http://vignette2.wikia.nocookie.net/gameofthrones/images/c/c1/606_Benjen_Stark_Promo.jpg,Benjen reveals himself to be alive to Bran Stark,http://vignette4.wikia.nocookie.net/gameofthrones/images/8/89/Benjen_S6E10.JPG/revision/latest/scale-to-width-down/180?cb=20160628152215,Benjen bids farewell to Bran and Meera by the wall.,"","","","",House Stark
Baratheon soldier (Mother's Mercy),"A Baratheon soldier is an unnamed character in the fifth season. He is played by guest star David Fennelly and appears in the episode ""Mother's Mercy"".","","","","","","","","","","","","","","","","","","","",Baratheon soldier (Mother's Mercy),"","","","","","","","","","","","","","",""
Aenys Targaryen,"Aenys I Targaryen, full name Aenys of House Targaryen, the First of His Name, is an unseen character in the first season. He died before the time of the series, and is not expected to appear. He was the second King of Westeros during the Targaryen dynasty.","","",1,"King of the Andals and the First Men, Lord of the Seven Kingdoms, Protector of the Realm",Deceased,"",Dragonstone,House Targaryen,Valyrian,"",Aegon I Targaryen,Maegor I Targaryen,Aegon I Targaryen,Rhaenys Targaryen,"","Aegon Targaryen, Rhaena Targaryen, Jaehaerys I Targaryen, Alysanne Targaryen",Maegor Targaryen (half-brother),"",http://vignette3.wikia.nocookie.net/gameofthrones/images/7/76/Aenys_I_Targaryen.png/revision/latest?cb=20160313083909,Aenys Targaryen,http://vignette4.wikia.nocookie.net/gameofthrones/images/8/82/Aenys_Aegon_Rhaena.png,Aenys announces the wedding of his children Aegon and Rhaena,"","","","","","","","","","","","",House Targaryen
Morag,"Morag is a character in Season 4, debuting in ""Oathkeeper"". She is one of the many wives of the wildling Craster, and is played by actress Deirdre Monaghan.","","",4,"",Alive,"",Craster's Keep,Craster,Free Folk,White Walkers,"","",Craster,"",Craster,Unnamed son,"Unnamed son (paternal half-brother), Sissy (paternal half-sister), Gilly (paternal half-sister), Sam (paternal half-brother), Craster's other wives (paternal half-, sisters)","",http://vignette1.wikia.nocookie.net/gameofthrones/images/4/46/Morag.jpg/revision/latest?cb=20160716071837,Morag,"","","","","","","","","","","","","","",""
Varly,"Varly is a minor character in the first season. He is played by guest star Graham Charles and only appears in ""You Win or You Die."" Varly is a guardsman sworn to House Stark.","","",1,"",Deceased,Killed by the Goldcloaks,Winterfell,House Stark,Northmen,"","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/9/99/Varly.jpg/revision/latest?cb=20120219130724,Varly,"","","","","","","","","","","","","","",House Stark
Slave (Breaker of Chains),"A slave is an unnamed minor character in the fourth season. He is played by guest star Joshua Sher and appears in ""Breaker of Chains"".","","",4,"",Alive,"",Meereen,"",Ghiscari (Meereenese),Ghiscari religion,"","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/5/53/Slave_2.png/revision/latest?cb=20140421112827,Slave (Breaker of Chains),"","","","","","","","","","","","","","",""
Karlon Stark,Karlon Stark is an unseen character in Game of Thrones. He is dead by the time in which the show takes place.,"","","",Lord of Karl's Hold,Deceased,"",Winterfell,"House Stark, House Stark of Karlon's Hold",Northmen,"","","","","","","","","","",Karlon Stark,"","","","","","","","","","","","","","",House Stark
Roslin Tully,"Roslin Tully, née Frey, is a minor character in the third season and is mentioned in the sixth season. She is portrayed by Alexandra Dowling, and debuts in ""The Rains of Castamere"". Roslin is the daughter of Lord Walder Frey and is married to Lord Edmure Tully at the Red Wedding.","Roslin is the 19-year-old daughter of Walder Frey, Lord of the Crossing. Unlike the majority of Lord Walder's brood, Roslin is quite beautiful. She was intended to marry King Robb Stark as part of an alliance between her father and him (Walder had given Robb a choice of any one of his many daughters or granddaughters, but Roslin would have been the obvious choice), but Robb fell in love with and married Talisa Maegyr instead.","",3,"",Alive,"",The Twins,House Tully,Andal,"","","",Walder Frey,"Joyeuse Frey (stepmother), Kitty Frey (stepmother)",Edmure Tully,Unnamed son,"Olyvar Frey, Walda Frey, Derwa Frey, Waldra Frey, Stevron Frey , Lothar Frey, Waldron Frey , Ryger Rivers (bastard paternal half-, brother), Walder Rivers (bastard paternal half-brother), Shirei Frey (paternal half-sister), Waldron Frey (paternal half-brother)","",http://vignette2.wikia.nocookie.net/gameofthrones/images/e/ea/Got-game-of-thrones-34775416-4256-2832.jpg/revision/latest?cb=20161215030611,Roslin Tully,http://vignette4.wikia.nocookie.net/gameofthrones/images/6/67/Roslin_frey_bedded.png,Roslin is carried away at her bedding ceremony.,"","","","","","","","","","","","",House Tully
Selwyn Tarth,Lord Selwyn Tarth is an unseen character. He is the father of the warrior woman Brienne of Tarth.,"Selwyn Tarth is the Lord of Evenfall Hall and the head of House Tarth, a vassal house of House Baratheon of Storm's End. He is the ruler of Tarth, an island located in Shipbreaker Bay in the Stormlands. He trained his daughter Brienne to be an accomplished warrior. After the outbreak of the War of the Five Kings, Lord Selwyn declared for Renly Baratheon and sent Brienne to join his army.","","2, 3, 4, 5, 6",Lord of Evenfall Hall,Alive,"",Evenfall Hall,House Tarth,Andal,"","","","","","",Brienne of Tarth,"","","",Selwyn Tarth,"","","","","","","","","","","","","","",""
Musician 3 (The Door),"A Musician is a background character in the sixth season. He is played by Arnar Rósenkranz Hilmarsson and debuts in ""The Door"".","","",6,"",Alive,"",Braavos,Izembaro's troupe,Braavosi,"","","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/3/38/Arnar_R%C3%B3senkranz_Hilmarsso_The_Door.jpg/revision/latest?cb=20160713070655,Musician 3 (The Door),"","","","","","","","","","","","","","",""
Bronn,"Ser Bronn is a major character in the second, third, fourth, fifth, sixth and seventh seasons. He initially appeared as a recurring character in the first season. He is played by starring cast member Jerome Flynn and debuts in ""Cripples, Bastards and Broken Things."" Bronn is a skilled and dangerous sellsword who comes to prominence when he champions for Tyrion Lannister in his trial by combat in the Eyrie. Bronn subsequently enters Tyrion's service as his bodyguard and enforcer.
While Bronn begins as a common and obscure mercenary, over the course of the narrative his fortunes continue to gradually rise. Bronn is briefly appointed Commander of the City Watch in King's Landing when Tyrion is acting Hand of the King in Season 2. He is then rewarded with a knighthood for the vital role he performed during the Battle of the Blackwater, taking on the formal name ""Ser Bronn of the Blackwater"". His status in Westerosi society rises even further when he is betrothed to Lollys Stokeworth, though the betrothal is annulled and he is sent to Dorne with Jaime Lannister to rescue Myrcella Baratheon from the vengeful family of Oberyn Martell. He is poisoned by Tyene Sand and almost dies, but survives and is allowed to leave Dorne. He later accompanies Jaime to Riverrun as part of a Lannister host. They take command of the Second Siege of Riverrun from the Freys, and succeed in getting Edmure Tully to surrender the castle. He and Jaime return to King's Landing in time to witness Cersei being crowned Queen.","Bronn is a sellsword; a mercenary soldier whose service as a warrior is for hire. Not much is known about his past or family. Both his parents beat him, and his nose was accidentally broken when his mother hit him with kitchenware, which she had meant for Bronn's younger brother. When Tyrion Lannister introduced him to Tywin Lannister, Bronn said that his father is no one Lord Tywin would know. During a drinking game with Tyrion and Shae, Bronn claims that he killed a woman before he was 12 years old, though it was in self-defense as she was attacking him with an axe. Bronn also confirmed Tyrion's claim that Bronn has been beyond the Wall. When asked why he was there, he bluntly answers that it was ""work"".","Bronn is sarcastic, with a black sense of humor, and a pragmatic, amoral philosophy for life. However, he is not completely heartless, nor is he sadistic. He openly expresses sympathy to Tyrion after making the pragmatic decision not to champion him during his second trial. After Tyrion asks him if he would murder an innocent baby in front of her mother without question, Bronn denies it and claims that he would ask for a price, implying that he would demand a very high price for such a despicable deed. Despite Bronn's avaricious nature, which is sneered at by more honorable knights, he is a skilled and dangerous fighter. His combat style centers around speed and agility, dodging enemy attacks instead of blocking them. For this reason, he does not wear heavy armor or capes or use shields, but instead relies on just his sword and knives. He is also a skilled archer and is apparently literate. His pragmatic approach to combat is the main reason why he refused to fight the Mountain in Tyrion's second trial by combat despite his superior stamina and speed, explaining ""One misstep, and I'm dead"".","1, 2, 3, 4, 5, 6, 7","Ser, Commander of the City Watch, (formerly)",Alive,"","",House Lannister,"","","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/b/be/Bronn_the_broken_man_s6.jpg/revision/latest?cb=20160629013344,Bronn,http://vignette1.wikia.nocookie.net/gameofthrones/images/5/51/Bronn.jpg,Bronn battles against the hill tribes.,http://vignette1.wikia.nocookie.net/gameofthrones/images/c/cd/Tyrion_and_Bronn_1x09.png,Bronn plays a drinking game with Tyrion.,http://vignette1.wikia.nocookie.net/gameofthrones/images/d/de/Tyrion_and_Bronn.jpg,"Tyrion and Bronn before battle in ""Blackwater"".",http://vignette3.wikia.nocookie.net/gameofthrones/images/7/77/Bronn_singing.jpg,Bronn sings the Rains of Castamere.,http://vignette4.wikia.nocookie.net/gameofthrones/images/6/6c/Bronn_2x09.png,"Bronn, about to blow up half of Stannis's fleet.",http://vignette1.wikia.nocookie.net/gameofthrones/images/8/80/We_need_Details.jpg,Tyrion is fascinated at Pod's ability to pleasure women.,http://vignette1.wikia.nocookie.net/gameofthrones/images/e/e0/Podrick_with_tyrion_and_bronn_waiting_for_doran_martell.png,Bronn with Tyrion and Podrick waiting for Doran Martell.,House Lannister
